id;texto
1024121291140489216; "o bolsonaro já disse que o aquecimento global é mentira? porque eu acho que o brasil merece o trump dele"
1015731094929494016; "@veravaia2 eu também porque nunca salvador esteve tão frio atualmente gostaria que esquentasse mais "aquecimento global é fake""
1015731461373222912; "gargalhada moderada "churrasco de domingo é vilão por conta do aquecimento global "... é cada merda que eu ouço. cara, e os mega parques industriais que fazem o que 3 milhões de churrasqueiras fazem em 1 dia eles fazem em 1 segundo?"
1016558911464398849; "brasil corre risco de não cumprir meta contra aquecimento global....."
1022183521975238657; "@edmorodrigues_ oq eu quero dizer mano é que o aquecimento global é um falso consenso ridiculo"
1024412796757438464; "vcs acreditam no aquecimento global???"
1017077693920301057; "@mrbastos_ent acreditam? deveria ser "acredita", no singular. claro que acredito! as mudanças climáticas sempre existiram. coisa distinta é a grande patranha da agenda do "aquecimento global" de al gore e companhia. ?"
1020319231437606913; "aí nós começamos a conversar sobre o aquecimento global porque ela tinha ficado no predio aquele tempo inteiro pesquisando sobre isso"
1024122148649148417; "@prodwiththerod aquecimento global não é só sobre esquentar, e sim sobre o impacto do ser humano no meio ambiente. tanto esquenta quanto esfria, o problema é que é um resultado que não é natural e vai custar da gente no futuro"
1020319897182666752; "aí ela falou que o problema do aquecimento global era que o eixo da terra tinha desviado 30 graus da posição inicial"
