id;texto
"1026123938106171393"; "é bué giro como agora toda a gente fala em reduzir o plástico por causa da poluição e do aquecimento global mas amorzinhos se querem realmente fazer a diferença reduzam o consumo de carne porque a agropecuária é a maior causa do aquecimento global"
"1026784628663828480"; "@fernandocluiz esse texto do jeffrey é a causa do aquecimento global, não o alerta"
"1026555512199041024"; "recebi da equipe da coalização brasil o livreto mudanças climáticas: riscos e oportunidades para o desenvolvimento do brasil com 28 propostas para diminuir a emissão de gases do efeito estufa, mostrando que a agropecuária e conservação ambiental devem andar juntas."
"1023901784065101824"; "estima-se que até 2030 a internet das coisas iot irá reduzir 63,5 gt de emissões de gases de efeito estufa. com soluções inteligentes, a iot coloca em pauta"
"1035578506653167617"; "@camiladicarla o aquecimento global é real, to com muito calor (eu mesmo o globo)"
"1026246231775961090"; "@pridexiwt segundo o trump o aquecimento global não existe, acho que você está ficando louca"
"1033153263162601473"; "essa mudança climática só faz minha rinite atacar socorro-"
"1028983196447375360"; "@airessousa83 @theonenuno @antoniocostapm @catarina_mart um dia o que resta do gerês arderá e os eucaliptos já estiveram mais longe. a ganância do português é que fará perder este país. a mudança climática, a desertificação em curso no país vai acelerar-se muito. o nosso país, em poucos anos, já perdeu muita da sua graça."
"1033885196872024067"; "depois da minha última aula to realmente achando que o aquecimento global não existe"
"1026944571002023936"; "vamos a tempo de conseguir travar o aquecimento global? ou teremos de nos adaptar a um planeta cada vez mais quente?"
"1026912675266273281"; "portugal deve ser o país que mais contribui para o aquecimento global, qualquer mitra tem um seat que manda mais fumo que um trator"
"1024500301641015297"; "afirmar que não existe aquecimento global pra estacionar na vaga de deficiente é belo e moral"
"1032320522925862912"; "como está esse aquecimento global aí no rio grande?"
"1024498995526348800"; "certeza que foi daquele meme do jack na praia depois do aquecimento global."
"1028832118829404160"; "@showdavida mas segundo trump: "aquecimento global não existe""
"1026859911404249088"; "não tô entendendo essa mudança climática aleatória"
"1025490780985720833"; "@mariloves aquecimento global existe. é isso."
"1026171408995495936"; "o aquecimento global é real e vai comer o cu da gente"
"1030867988201832448"; "é sábado a tarde, aula de sociologia da educação. começamos falar das diferentes concepções de palavras, depois nomes, aquecimento global, capitalismo, religião, vida pessoal do professor: se foram 20 minutos de aula"
"1029061424943951875"; "pesquisas apontam que: umas das maiores causas do aquecimento global do mundo vem do governo de angola, abafam muitos casos. ???"
