id;texto
"1017830499199455232"; "aquecimento global é meu ovo né"
"1023140561363058688"; "cientistas dizem que onda de calor na europa é sinal do aquecimento global. https://t.co/zmb3zmcgyr"
"1022197810328952832"; "@catarinaash00 eu acho que o aquecimento global é real, mas que nós não somos a causa principal. por exemplo, cientistas dizem que ainda estamos na idade do gelo (não no de tudo estar congelado como é obvio) e que os gelos dos polos não deverá existir pois este faz parte de uma era passada"
"1015882263576350720"; "o efeito estufa existe https://t.co/eysrgmf60v"
"1016489714772250624"; "@folha pelo que li, se o brasil for fazer o que essa turma propôe, terá que desembolsar r$ 1,5 trilhão sozinho para “proteger” os países desenvolvidos, que destruíram suas florestas, do aquecimento global?"
"1015973481052344320"; "escrever textão sobre aquecimento global é mole. quero ver deixar de comer churrasco risos"
"1023901784065101824"; "estima-se que até 2030 a internet das coisas iot irá reduzir 63,5 gt de emissões de gases de efeito estufa. com soluções inteligentes, a iot coloca em pauta"
"1022302572957364226"; ""para muitos, no entanto, o principal motivo é a interferência das ações humanas no clima da terra. ""o que estamos vendo como uma anomalia é o que pode passar a acontecer com frequência daqui a 30 anos, como resultado da mudança climática", diz [] peter stott à bbc.""
"1015664322901667846"; "problematizaram o churrasco. aquecimento global e o caralho!"
"1018954977006444544"; "companhias aéreas se preparar para voar em temps mais quente como a mudança climática traz mais calor extremo https://t.co/e5trj0lcvp"
"1020372643952963584"; "@philosopop aquecimento global tem cura !"
"1018295456751857665"; "@saritavaranis @cah_camilarv eu sou louca pra ter uma hortinha orgânica mas cada um é cada.dizem mesmo até que os gases dos bois e etc aumentam o efeito estufa o óleo de coco era ótimo agora dizem que nem tanto"
"1015746248354226178"; "@pauloap procure por vídeos do professor ricardo felício e do professor luiz carlos molion. ambos garantem que o aquecimento global não existe."
"1021367602491412480"; "10°c em manhuaçu hoje pela manhã. este aquecimento global um dia me congela."
"1014276927077666816"; "@fabien_sc acho que como é típico do @wuantt ele está a ser irónico porque o tempo cá em portugal anda doido ora está chuva ora está um calorão e a culpa disto tudo é, em parte da espécie humana, do aquecimento global."
"1023649785436405760"; "é, aquecimento global não existe né saudades inverno congelante do inferno viking viu. cadê meus 3 graus negativos porra"
"1018873862845616129"; "aquecimento global ameaça 1 bilhão de pessoas sem refrigeração no mundo"
