id;texto
1017830499199455232; "aquecimento global é meu ovo né"
1023140561363058688; "cientistas dizem que onda de calor na europa é sinal do aquecimento global. https://t.co/zmb3zmcgyr"
1022197810328952832; "@catarinaash00 eu acho que o aquecimento global é real, mas que nós não somos a causa principal. por exemplo, cientistas dizem que ainda estamos na idade do gelo (não no de tudo estar congelado como é obvio) e que os gelos dos polos não deverá existir pois este faz parte de uma era passada..."
1015882263576350720; "o efeito estufa existe https://t.co/eysrgmf60v"
1021384636713316352; "litetalmente tamos no final de julho, meio do verão e eu estou deitada no sofá você uma manta polar em cima, cheia de frio e depois ya kkkk ainda dizem que não existe aquecimento global fse"
1017059709961080832; "kct de agulha, ô friaca! bem que o tal aquecimento global podia começar logo..."
1015610285032398849; "@exame o que é o vilão do aquecimento global é a quantidade enorme de roscas que vcs queimam...."
1016489714772250624; "@folha pelo que li, se o brasil for fazer o que essa turma propôe, terá que desembolsar r$ 1,5 trilhão sozinho para “proteger” os países desenvolvidos, que destruíram suas florestas, do aquecimento global?"
1015973481052344320; "escrever textão sobre aquecimento global é mole. quero ver deixar de comer churrasco risos"
1020654671529152512; "todas nossas ações causam algum impacto à natureza. algumas contribuem com o aquecimento global e com a emissão de dióxido de carbono co2. calcular o total desse impacto e buscar uma maneira de..."
1021150371140591616; "@guajajarasonia está certo ele. aquecimento global antropogenico não existe!"
1023901784065101824; "estima-se que até 2030 a internet das coisas iot irá reduzir 63,5 gt de emissões de gases de efeito estufa. com soluções inteligentes, a iot coloca em pauta..."
1018457761921880064; "ta a chover em julho? ainda dizem que o aquecimento global não existe"
1022302572957364226; ""para muitos, no entanto, o principal motivo é a interferência das ações humanas no clima da terra. ""o que estamos vendo como uma anomalia é o que pode passar a acontecer com frequência daqui a 30 anos, como resultado da mudança climática", diz [...] peter stott à bbc.""
1015664322901667846; "problematizaram o churrasco. aquecimento global e o caralho!"
1018954977006444544; "companhias aéreas se preparar para voar em temps mais quente como a mudança climática traz mais calor extremo https://t.co/e5trj0lcvp"
1017925157980200960; "@marinabetat ainda dizem que tem aquecimento global kkkkkkk"
1023055558000234496; "cientistas dizem que onda de calor na europa é sinal do aquecimento global"
1020372643952963584; "@philosopop aquecimento global tem cura !"
