3 2 1 :1026246231775961090; " ""@pridexiwt segundo o trump o aquecimento global não existe, acho que você está ficando louca"""
1 5 4 :1029505433092935682; " ""qanon , ursal. aquecimento global. profecias de nostradamus. é .. não vai ser tão simples assim o fim da decada"""
2 5 1 :1028798097000935425; " ""fantástico começando a falar do aquecimento global e tal minha host mom disse que esse é o verão mais quente na alemanha, desde que o ""histórico de temperaturas"" lá começou a ser registrado"""
5 1 3 :1024320211166658560; " ""@nildaalcarinque acho que o bacilo foi a coisa menos prejudicial que um koch fez. são bilionários da industria petrolífera, negacionistas do aquecimento global e financiadores de grupos conservadores mundo afora."""
5 1 3 :1025575859514732544; " ""mirian leitão falando de proteção climática com um cara que não deve acreditar no aquecimento global porque sente frio"""
5 1 3 :1026953227269537793; " ""por isso que ninguém quer saber de aquecimento global e quer ter seu próprio carro. pegar ônibus é um cú"""
2 1 3 :1033819201125920768; " ""depois dizem que o aquecimento global não existe"""
5 1 3 :1035318060989730816; " ""@luiz_1711 trump não concorda com as pautas da onu. ele diz não ao aborto, não a descriminalização das drogas, não ao aquecimento global e não aceita fronteiras abertas. e já disse que vai retirar 3 bilhões de ajuda a onu. trump e amoedo só tem em comum o fato de serem liberais na economia"""
4 2 3 :1030503692217327616; " ""@spiderconsense cadê esse aquecimento global que não chega?!! ?"""
5 1 3 :1024668817102987265; " ""@veja e os políticos ainda dizem que não existe aquecimento global."""
5 1 3 :1030119749995454464; " ""gustavo: eu não to mais puto cara que fala que efeito estufa não existe: a gustavo:"""
3 2 4 :1025157712898936832; " ""@davirsimoes já usei texto de especialista na área e falaram que ele era pau mandado globalista. com essa galera não tem diálogo, para eles aquecimento global é tão real quanto o youtube sem bug."""
2 3 4 :1025750044438392832; " ""e não me digam que esta merda é aquecimento global porque em agosto está sempre 60º"""
4 1 3 :1029460141572333571; " ""@uol segundo o sábio eduardo bolsonaro, e o seu mentor maior trump, é balela esta coisa de aquecimento global. pura invenção da esquerda. os cientistas são todos analfabetos e ignorantes. segundo eles. está lá no youtube o vídeo desta maravilhosa aula do sábio."""
5 3 1 :1024122210712211456; " ""ja dizia o cellbit o problema do aquecimento global e que tem muita gente que acredita em deus"""
5 3 1 :1031914237931741184; " ""se você encontrasse um gênio da lâmpada, quais seriam seus 3 desejos — paz mundial, salvar o planeta aquecimento global e afins e ter desejos infinitos"""
5 3 1 :1025773913450655745; " ""o aquecimento global é ótimo, reúne famílias nos sítios mais frescos da casa"""
5 2 1 :1024435659375882240; " ""ótima passagem do tempo, deveriam ter falado do efeito estufa pra explicar esse bloco de gelo aí hahahhaha otemponãopara"""
5 1 2 :1026881132095266817; " ""falam do aquecimento global à toa. fazem ideia do espaço que ocuparia só para alimentar um país inteiro à base da agricultura? fazem ideia das carradas de água que seriam necessárias? fazem ideia do quão dispendioso seria? e se acontecesse algo ás culturas? era tudo a passar fome"""
1 3 2 :1033347560470142977; " ""@mattera8841 pra mim só preserva as plantas mais regionais e amazonia, não sujar os rios, preservar o meio ambiente mas pode jogar co2 mesmo que aquecimento global não tem ação humana"""
5 2 1 :1026213597880438784; " ""@gabrielac_99 eu também levava a cena do aquecimento global super a sério, mas se fores a ver com atenção tudo e deixares um bcd os media de lado vais ver que não é assim tão linear como pensamos"""
5 3 1 :1028456457698717696; " ""eu juro por deus que eu choro de rir com este tipo de comentários ? fazem o meu dia, a minha noite, tudo. juro, muito obrigada. é que tipo, podíamos discutir o aquecimento global, a tensão politica mundialmas o que importa é enaltecer qualidades ridículas ?"""
5 3 1 :1025429304178601984; " ""ok este calor de merda ta me a dar raiva, peço com gentileza para meterem o aquecimento global no meio do orifício localizado na parte de trás chamado ânus. agora vou vazar daqui que estou demasiado puto"""
1 3 2 :1030850105811906561; " ""@wagnerpaivaccb @blogdopim @silvaniasalomao a terra dos indígenas não tem o meio ambiente sendo devastado, acabando você flora e fauna, extinguindo espécies ou intensificando o aquecimento global. lutar por um brasil melhor tb inclui lutar pelos direitos dos que já moravam aqui desde antes de 1500!"""
5 2 4 :1026103777546461189; " ""só tem comentário de quem nega o aquecimento global antropogênico ? relaxa, irmão se não tem, não tem haha tamo junto?"""
5 2 1 :1025569229565779968; " ""@sol1up tô numa epopeia parecida com a minha mãe por causa do aquecimento global ""vai dizer que foram os humanos que causaram a era do gelo"""""
5 3 4 :1031745242968543233; " ""@thephfernandes se anular o aquecimento global a terra congela"""
1 5 3 :1034221975265312769; " ""mano se o mundo inteiro calasse a boca e a gente so deixasse a florence cantando acho que o efeito estufa acabava"""
5 3 1 :1024773549473624064; " ""só em novela mesmo com o aquecimento global no meio do mar no brasil vai ter uma pessoa congelada ?"""
5 3 2 :1028801085836861440; " ""é verdade que o aquecimento global é uma invenção da globo?"""
5 4 1 :1034242174899105792; " ""cadê o aquecimento global quando a gente precisa dele ?"""
5 3 1 :1023960239232696320; " ""numa aula sobre efeito estufa o prof comparou a camada de ozonio você uma tampa de panela ""qnd você esquenta comida mas não vai comer na hora você faz o quê? quem é do subúrbio sabe! isso! usa uma tampa!"" mano rico usa o quê então p tampar panela? magia negra? uma pessoa?"""
5 4 1 :1034587306039169024; " ""@flaviomorgen minha preocupação é se ele for devorado por um tyrannosaurus rex que tenha se desprendido de uma geleira em processo de derretimento por causa do aquecimento global."""
1 3 4 :1028013656930504704; " ""chuvas em brasília em agosto é sinal que o aquecimento global é verdade mesmo graças a deus"""
5 1 4 :1025079055857721344; " ""@michaelmb16 kekekekekekekeek tamo aí nego, a @ ta igual aquecimento global nos iceberg"""
5 2 4 :1026829738751471616; " ""@carlosbolsonaro já colocaram uma culpa indireta nela pela morte da advogada no fim do mês passado, daqui a pouco o ""aquecimento global"" vai ser culpa dele também!"""
5 3 2 :1025536060426780674; " ""isto não é o aquecimento global nem nada, é só um verão normal"""
