id;texto;anotacao
1,01903801968331E+018;como o multiculturalismo pode acabar com o aquecimento global. entenda.;OUT
1,01760815989938E+018;se existe aquecimento global acho que ele não chego na laguna;IRON
1,01738422503996E+018;#mudançasclimáticas aproximadamente 20% das emissões de gases do efeito estufa são causadas pelo #desmatamento, revela relatório da fao via @ecodebate;OUT
1,01435176923168E+018;cada pergunta ajuda na plantação de árvores para combater o aquecimento global, vem gente;POS
1,01818917979938E+018;o sol hoje atingiu um novo nível de aquecimento global. estou torrando;IRON
1,02431432251479E+018;o aquecimento global é causado pelo lobby dos ares condicionados;NEG
1,02263232507353E+018;eu fico mt mal com essas coisas, a falta de chuva está ligada diretamente com ações humanas aquecimento global, poluição do ar e de água, uso abusivo de água e recursos naturais... realmente, o mundo só vai parar de destruir a natureza quando perceber que dinheiro não se come;POS
1,02222745503213E+018;estou muito mal doente será se é saudade ou só mudança climática mesmo? aposto nos dois;POS
1,0153168561928E+018;@jovemhan efeito estufa !!!;OUT
1,02202677245869E+018;com a capacidade de destruição do ser humano e produzir coisas sem ter noção ou responsabilidade sobre as mesmas, eu não consigo acreditar que ainda tem alguém que pense que a gente não interferiria no aquecimento global;POS
1,01820144375142E+018;@alanagbrs aquecimento global;OUT
1,0147007451769E+018;o general queria vender a teoria do roubo de nuvens, mas o responsável pela meteorologia já estava comprometido com a teoria do aquecimento global ? resultado: não se entenderam.;POS
1,02069425245883E+018;humanos de merda olha o que vcs fizeram olha o aquecimento global;POS
1,02045731999646E+018;"pra mim, movimentos veganistas/vegetarianistas são muito mais ideológicos do que necessariamente saudáveis e há controvérsias sobre a realidade do e/ou ""aquecimento global"". agora a onda globalista é ""criminalizar"" a produção de carne acusando-a de causar o ""efeito estufa"".";NEG
1,02151962656661E+018;me tornei o que eu mais temia a pessoa que reclama da mudança climática argumentando que não tem saúde que aguente;IRON
1,02156843465879E+018;@metsul @afp em 1976 alguém falava de aquecimento global?;OUT
1,01926309400932E+018;@camaradeputados não existe aquecimento global.;NEG
1,01529832989337E+018;hoje tem baile da f aquecimento global gargalhada;OUT
1,01819091273479E+018;curso da onu meio ambiente e do instituto da onu para formação e pesquisa tem duração de 3 horas e trata do regime jurídico internacional de mudança climática, incluindo mecanismos da convenção-quadro e compromissos assumidos pelas partes https://t.co/ouqsu4zvsr;OUT
1,01605876260239E+018;@safbf saquei. tipo algumas pesquisas sobre o “não” aquecimento global.;OUT
1,01496539206067E+018;@sduartek não vai mais existir frio. aquecimento global tomou conta;POS
1,02336653782095E+018;@epahyh07 para conversarmos sobre o aquecimento global ?;OUT
1,0179333797094E+018;@madstymest não sei se você percebeu mas você está usando sua boca pra ficar enchendo o mundo de fumaça, você não tem vergonha na cara de estar contribuindo para o aquecimento global não? deveria ter vergonha de si. block;POS
1,0144865489921E+018;qual seu pensamento para o aquecimento global — mano eu mal sei da minha vida vou saber do aquecimento global;IRON
1,02007904267709E+018;@gcamarotti @sergioaguiar07 @rjpcerqueira @globonews humm, que bom, acordei mesmo com uma vontade de ser enganado !!! vão falar mal do trump ? vão dizer que há muito preconceito com a pedofilia ? vão falar sobre o aquecimento global ? e sobre a importância do desarmamento? vai ter especialista da usp ? não vejo a hora !;NEG
1,02297082164674E+018;"vocês não estão bué preocupados com o nosso mundo? tipo por todas as notícias que já ouvimos por toda a desgraça que temos vindo a ""aceitar"" para não falar no tempo e nas alterações climáticas e aquecimento global";POS
1,02286150673044E+018;mas tem um sujeito em embu das artes que está sentindo frio, por isso aquecimento global não existe!;IRON
1,02115947279705E+018;@dozepontozero olha aí o canudo de plástico. contribuindo pro aquecimento global;POS
1,0244118105256E+018;este ponto será o ponto mais quente para ondas de calor mortais no futuro, especialmente sob a mudança climática. leia mais: https://t.co/kvxoqkholc;OUT
1,0193478263489E+018;uso do biodiesel de soja pode reduzir emissões de gases de efeito estufa via @glamurama;OUT
1,02412678617784E+018;moro em são paulo há 17 anos e eu devia me acostumar com a mudança climática, mas é impossível se adaptar;POS
1,01862281093837E+018;@julhous parabéns bixo eu gostaria de parar por causa do aquecimento global as geleira tão sumindo;IRON
1,02443556936186E+018;depois dos que negam o holocausto, negam a ditadura, negam o aquecimento global e negam a terra redonda, nos preparemos para mais um grupo de idiotas: aqueles que negam a escravidão;POS
1,01785347193928E+018;"mas o aquecimento global é uma ""farsa"" criada pelos chineses para prejudicar as indústrias americanas. ? iceberg gigante se aproxima da groenlândia e pode causar tsunami @uol";OUT
1,02115883400443E+018;@gugachacra nao existe aquecimento global... existe antas globais...;NEG
1,02413140624982E+018;isso é o aquecimento global;POS
1,02174616646626E+018;rios em aquecimento fazem uma contribuição marcante para os níveis globais de gases de efeito estufa;OUT
1,02099086477936E+018;será que com a suécia em chamas ainda há pessoal que diz que o aquecimento global é hoax?;POS
1,01676213115963E+018;@pcfilho mas efeito estufa e facilmente comprovado com uma plantação;POS
1,02006193631729E+018;bem-vindo aquecimento global;POS
1,01599097304904E+018;@danielpozzetti @smith_hays lembrando que não acreditar no aquecimento global não significa automaticamente querer destruir a natureza, como muitos alarmistas da mídia pensam !!!;OUT
1,01634148626536E+018;tribuna do sertão - brasil corre risco de não cumprir meta contra aquecimento global;OUT
1,01707173970312E+018;mudança climática: as emissões mundiais de co2 voltam a crescer em 2017 via @elpais_brasil;OUT
1,02252840181766E+018;o aquecimento global é de tal forma que até em marte já há água em estado líquido.;IRON
1,02252934262107E+018;a colômbia tem trabalhado nos últimos anos na concepção e implementação de três iniciativas interessantes para a redução de gases de efeito estufa gee nos setores produtivos...;POS
1,01790264141282E+018;@95artt o menino está defendendo liberdade econômica, pra mim é a mesmo coisa de dizer fodase todo mundo eu quero dinheiro pra mim, aquecimento global???? coisa de esquerda;IRON
1,01595201702872E+018;imaginem quando o aquecimento global ficar pior;POS
1,02140241098672E+018;ok agora eu vou entrar com o papo da poluição e efeito estufa. agor ela me bloqueia;POS
1,02419700801231E+018;eu tenho certeza que essa chuva de granizo tem a haver com o aquecimento global, a última chuva de granizo que deu aqui foi bem fraquinha e não igual essa que parecia as chuvas que dá no sul .;POS
1,02226255586623E+018;ele diz que ainda sente frio por isso não há aquecimento global ?;OUT
1,02289961269539E+018;@euotrouxa aquecimento global;OUT
1,02222055974715E+018;é aquecimento global que fala;OUT
1,01374086834649E+018;a morte do aquecimento global.;OUT
1,02123759479597E+018;ta gente muito legal o lance de aquecimento global e tudo mais agr me responde uma coisinha porque quem eu gosto mora na puta que o pariu?????;IRON
1,02390471692802E+018;estamos praticamente em agosto e está a chover e o trump diz que não há aquecimento global;POS
1,02159033914726E+018;você aí que come carne, não queria dizer nada não, mas você está contribuindo pro aquecimento global;POS
1,021386510892E+018;o desmatamento no brasil pode custar até r$ 20 trilhões para os outros países conterem o efeito estufa. e você, vai deixar esse negócio esquentar entenda: #aristidesathayde2018 #aristides2018 #resista #nãomateamata;OUT
1,02289663445426E+018;@naluicha @giangulla @brguedes @jornaloglobo e quem disse que o 'aquecimento global' é causado pelo homem?!;POS
1,01524314356497E+018;churrasco de domingo é vilão do aquecimento global;IRON
1,02299514614362E+018;mundo dever ter onda de calor a cada dois anos. especialistas apontam ligação entre aquecimento global e incêndios florestais: https://t.co/w6tqai3spv;OUT
1,01421835988865E+018;@babbs_com @antecipada_ aquecimento global ?;OUT
1,0206620361272E+018;"@bbcbrasil camada de ozônio não existe, aquecimento global não existe, fico impressionado no tanto de mongoloide que acredita nesses ""cientistas"" e na china";NEG
1,02361388975645E+018;@ggapki menos mal.. eu sofro com a mudança climática tbm. tipo amanhã já sei que vou acordar mal porque vai esfriar;POS
1,01546919873314E+018;aquecimento global is real sis;POS
1,02358048928477E+018;a fake news é aquecimento global ligado a natalidade de gênero de tartarugas ñ pode ser provado. primeiro nem o aquecimento global pode ser provado e aliás há forte indício de que seja apenas uma estratégia política mesmo. segundo não se pode supor algo baseado em teorias infundadas;POS
1,01676102572565E+018;brasil corre risco de não cumprir meta contra aquecimento global;POS
