id;texto;anotacao
1.02446486019584E+018;a mudança climática matou os aliens e vai nos matar também; POS
1.02391143823302E+018;@cournestone aquecimento global a acontecer mesmo à minha frente basicamente e ainda há gente que não acredita que isso existe; 
1.0213870686715E+018;@herbertgon @gugachacra você está redondamente enganado amigo. os sinais do aquecimento global é perceptível em todo o planeta. não se engane por episódios temporários de frio. eles são bem isolados. no japão as temperaturas jamais alcançaram 41°c como neste verão recente.; 
1.02216228757725E+018;o aquecimento global está com tudo; 
1.02324061636761E+018;- mãe, a gente ta no outono, não? - num era inverno? - sim mas depois do inverno vem o quê? - o verão, uai!! ??? aquecimento global; 
1.02077389906639E+018;@odaozinho e os impactos da capa dura no aquecimento global e na elevação do iptu nos grandes centros urbanos (afinal, ocupa mais espaço e quartos maiores pra coleção se fazem necessários); 
1.01919150622824E+018;com aquecimento global, falta de geladeira e ar condicionado vai afetar mais de 1 bilhão de pessoas: temperatura elevada vai elevar dificuldades de preservação de alimentos e de medicamentos naqueles que não possuem aparelhos de refrigeração, diz… https://t.co/bhyoylcfie; 
1.01593673497728E+018;@atalaiabrazuca @carlosbolsonaro o aquecimento global é uma farsa.; 
1.02233561266838E+018;desaceleração de correntes oceânicas pode intensificar aquecimento global https://t.co/zejsfrryzl; 
1.01578629513267E+018;o efeito estufa começou com os dinossauros peidando mt; 
1.01918570800581E+018;pelo amor da santa parem de usar cromossomas como desculpa para tudooooo ahhhhhhhhh daqui a pouco os cromossomas são os culpados do aquecimento global; 
1.02186306441569E+018;o ser humano causou o aquecimento global logo não da pra defender o ser humano; 
1.01653955473458E+018;@itstaeworld aquecimento global ~ kim namjoon; 
1.01577911460578E+018;agora mesmo que não vou mais acreditar nisso...; 
1.01702956800644E+018;gente politizada, gosta de opinar sobre tudo... reve; 
1.02151495280751E+018;olha a manchete do site terra sobre aquecimento global, é ridículo o esforço em assustar a população.; 
1.01789421328609E+018;gostei de um vídeo @youtube ário - a grande farsa do aquecimento global.; 
1.01830342787566E+018;@mengxibo o aquecimento global é culpa dela; 
1.0207204179365E+018;@thinker_dex @cmerigo a porra do aquecimento global causa mudanças climáticas...; 
1.01745264875947E+018;aquecimento global é uma farsa. a onu é um grande deserviço para a humanidade... vive na mentira, inclusive e sobretudo em suas divulgações científicas. na ideologia é tudo muito bonito mas na prática a história é outra.; 
1.01817050819249E+018;@kup7s tirando o tópico do aquecimento global, que prova que a terra é plana, porque seria impossível derreter o gelo que está na sombra; 
1.02074562489403E+018;temperaturas oscilantes tvi? chama-se aquecimento global; 
1.02413423974124E+018;@asdfghjklcs kkkkkkkkkkk aquecimento global está rolando há milênios então; 
1.01933686099959E+018;@aianafreitas a cura do câncer e o teletransporte serão inventados no governo dele. chuck norris será o ministro da segurança, o aquecimento global irá regredir quando sua candidatura for confirmada, os beija-flores e pintassilgos invadirão brasília e os motoboys de são paulo serão cordiais.; 
1.02367153027261E+018;cadáveres desaparecidos há décadas emergem com aquecimento global https://t.co/2crktsuscw; 
1.01962212743419E+018;queria só entender o porque desse calor no inverno aaaah lembrei: aquecimento global; 
1.0149517227862E+018;@fesous1 @flaviomorgen pra uns... proutros poluição, efeito estufa, aquecimento global...; 
1.01525763821554E+018;"@exame resumindo para quem só lê manchete: ""os impactos causados pela agropecuária são responsáveis por 69% das emissões de gases de efeito estufa do brasil. muito embora o brasil contribua com apenas 4% das emissões globais, todo esforço é necessário e muito bem vindo..."";"" ";
1.02035604127871E+018;@lilovlog esquerda indecisa: - todo homem = estuprador - nem todo pedófilo = pedófilo - aquecimento global, superpopulação - chamem os muçulmanos, precisamos procriar - menor não sabe o que faz - criança pode mudar de sexo - bactéria em marte = vida! - punhado de células na barriga = nada; 
1.01455331526119E+018;"""aquecimento global não existe"" ?????? não sei dou risada ou se choro."; 
1.02171197707955E+018;adicionei um vídeo a uma playlist @youtube ção mudança climática; 
1.02261882802973E+018;@g1 e tem gente que ainda acredita que a terra ? é plana, e não existe aquecimento global; 
1.01427758914855E+018;a fraude do “aquecimento global”: 30 anos de previsões fracassadas que nunca aconteceram; 
1.01631666486089E+018;eu tô no youtube vendo vídeo de como desentupir o nariz obrigada mudança climática; 
1.0181680423317E+018;aquecimento global provocado pelos seres humanos, nunca né. ????; 
1.01929615549312E+018;"""educação ambiental para o século xxi"" propõe um mergulho nas leis naturais e na relação destas com as atividades humanas, abordando - com enfoque jornalístico e didático - temas como o lugar da terra, a evolução da vida, o clima e o efeito estufa. #editorablucher"; 
1.02227963396488E+018;"o @bernardopkuster disse algo bem interessante. notaram que a expressão ""discurso de ódio"" desapareceu? e foi substituída por ""fake news""? assim como ""aquecimento global"" foi trocado por ""mudanças climáticas"". essa máfia ri do mundo e os imbecis aplaudindo."; 
1.01881518351763E+018;mas que porra !! no dia que não poderei ir à praia sábado é quando vai estar mais calor ... obrigado aquecimento global ! a sério estás de parabéns ! vou dar-te um prémio ! pelo jeito não é este ano que vou ficar muito moreno hahahahahahahahahahhaahah; 
1.02042285053102E+018;eventos extremos indicam que aquecimento global é uma condição plausível e governos devem se preparar para seus efeitos.; 
1.02226708453599E+018;aquecimento global pode provocar milhares de suicídios; 
1.01669356301757E+018;depois de 478 dias de calor no inverno carioca, finalmente faz um friozinho. já ansioso aqui pelo tuite do filho do bolsonaro negando aquecimento global; 
1.02188355218563E+018;"pesquisadores apontam forte relação entre temperatura extrema, seca e violência; países mais afetados serão méxico e eua. saiba mais:"; 
1.02289340582584E+018;agora os bozprasi vão acreditar no aquecimento global; 
1.0167160896765E+018;eu: kkkk esse inverno não está com nada nem eu senti frio e olha que sou friorenta pacas aquecimento global etc inverno: a eu:; 
1.01848503685996E+018;eu cago logo esses cogumelos ou deixo o efeito estufa me enlouquecer ?; 
